person_id,group,data_source,gender,edu_level,year_in_school,age,job_status,field,difficulty,time_per_week,used_ai,heard_simplify,page,is_treatment,signup,useful,regular,recommend
1008,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,1.0,Yes,B,1,4,3,4,4
1009,AB,llm,Male,Master's student,Master's student (1st year),23.0,Actively applying for full-time jobs,Computer Science / Engineering,Extremely difficult,6-8 hours,1.0,Yes,A,0,5,3,4,4
1009,AB,llm,Male,Master's student,Master's student (1st year),23.0,Actively applying for full-time jobs,Computer Science / Engineering,Extremely difficult,6-8 hours,1.0,Yes,B,1,4,4,4,4
1010,AB,llm,Female,Master's student,Master's student (1st year),22.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,No,A,0,3,3,3,3
1010,AB,llm,Female,Master's student,Master's student (1st year),22.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,No,B,1,3,3,3,3
1011,AB,llm,Female,Master's student,Master's student (1st year),23.0,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,0-2 hours,1.0,Yes,A,0,4,3,4,3
1011,AB,llm,Female,Master's student,Master's student (1st year),23.0,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,0-2 hours,1.0,Yes,B,1,4,3,4,3
1012,AB,llm,Female,Master's student,Master's student (2nd year or above),24.0,Not currently looking for jobs,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,A,0,4,3,4,4
1012,AB,llm,Female,Master's student,Master's student (2nd year or above),24.0,Not currently looking for jobs,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,B,1,4,4,4,4
1013,AB,llm,Male,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,3,3,3,3
1013,AB,llm,Male,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,3,3,3,3
1014,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,4,3,3,3
1014,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,4,3,3,3
1015,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Extremely difficult,6-8 hours,0.0,Yes,A,0,4,3,4,4
1015,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Extremely difficult,6-8 hours,0.0,Yes,B,1,4,3,4,4
1016,AB,llm,Female,Master's student,Master's student (1st year),22.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,1.0,Yes,A,0,3,2,3,3
1016,AB,llm,Female,Master's student,Master's student (1st year),22.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,1.0,Yes,B,1,3,2,3,3
1017,AB,llm,Male,Master's student,Master's student (1st year),24.0,Actively applying for full-time jobs,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,4,3,4,4
1017,AB,llm,Male,Master's student,Master's student (1st year),24.0,Actively applying for full-time jobs,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,4,4,4,4
1018,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,A,0,4,3,4,3
1018,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,B,1,4,3,4,4
1019,AB,llm,Female,Master's student,Master's student (1st year),23.0,Not currently looking for jobs,Information Systems / Data Science,Extremely difficult,0-2 hours,1.0,Yes,A,0,2,1,1,2
1019,AB,llm,Female,Master's student,Master's student (1st year),23.0,Not currently looking for jobs,Information Systems / Data Science,Extremely difficult,0-2 hours,1.0,Yes,B,1,2,2,2,2
1020,AB,llm,Male,Master's student,Master's student (1st year),25.0,Actively applying for internships,Computer Science / Engineering,Extremely difficult,More than 8 hours,1.0,Yes,A,0,5,3,5,4
1020,AB,llm,Male,Master's student,Master's student (1st year),25.0,Actively applying for internships,Computer Science / Engineering,Extremely difficult,More than 8 hours,1.0,Yes,B,1,4,4,5,4
1021,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,4,3,4,3
1021,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,4,3,4,3
1022,AB,llm,Female,Master's student,Master's student (2nd year or above),26.0,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,0-2 hours,0.0,No,A,0,2,2,1,2
1022,AB,llm,Female,Master's student,Master's student (2nd year or above),26.0,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,0-2 hours,0.0,No,B,1,2,2,2,2
1023,AB,llm,Male,Master's student,Master's student (1st year),22.0,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,A,0,4,3,4,4
1023,AB,llm,Male,Master's student,Master's student (1st year),22.0,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,B,1,4,4,4,4
1024,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,3,3,3,3
1024,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,3,3,3,3
1025,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,A,0,4,3,4,4
1025,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,B,1,4,4,4,4
1026,AB,llm,Male,Master's student,Master's student (1st year),23.0,Actively applying for internships,Computer Science / Engineering,Somewhat difficult,3-5 hours,1.0,Yes,A,0,4,3,4,4
1026,AB,llm,Male,Master's student,Master's student (1st year),23.0,Actively applying for internships,Computer Science / Engineering,Somewhat difficult,3-5 hours,1.0,Yes,B,1,4,3,4,4
1027,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Extremely difficult,0-2 hours,1.0,Yes,A,0,4,3,3,3
1027,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Extremely difficult,0-2 hours,1.0,Yes,B,1,3,3,3,3
1028,AB,llm,Female,Master's student,Master's student (1st year),22.0,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,3-5 hours,0.0,No,A,0,1,1,1,1
1028,AB,llm,Female,Master's student,Master's student (1st year),22.0,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,3-5 hours,0.0,No,B,1,1,1,1,1
1029,AB,llm,Male,Master's student,Master's student (2nd year or above),31.0,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,A,0,4,3,4,4
1029,AB,llm,Male,Master's student,Master's student (2nd year or above),31.0,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,B,1,4,4,4,4
1030,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,4,3,4,3
1030,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,4,3,4,4
1031,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,A,0,3,3,3,3
1031,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,B,1,3,3,3,3
1032,AB,llm,Male,Master's student,Master's student (1st year),24.0,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,A,0,4,3,4,4
1032,AB,llm,Male,Master's student,Master's student (1st year),24.0,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,B,1,4,4,4,4
1033,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,4,3,4,4
1033,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,4,3,4,4
1034,AB,llm,Female,Master's student,Master's student (1st year),23.0,Exploring opportunities but not applying yet,Information Systems / Data Science,Somewhat difficult,0-2 hours,1.0,Yes,A,0,3,3,3,3
1034,AB,llm,Female,Master's student,Master's student (1st year),23.0,Exploring opportunities but not applying yet,Information Systems / Data Science,Somewhat difficult,0-2 hours,1.0,Yes,B,1,3,3,3,3
1035,AB,llm,Male,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,4,3,4,4
1035,AB,llm,Male,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,4,4,4,4
1036,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,A,0,4,3,4,3
1036,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,B,1,4,3,4,4
1037,AB,llm,Female,Master's student,Master's student (2nd year or above),25.0,Not currently looking for jobs,Business,Somewhat difficult,0-2 hours,0.0,No,A,0,3,2,3,3
1037,AB,llm,Female,Master's student,Master's student (2nd year or above),25.0,Not currently looking for jobs,Business,Somewhat difficult,0-2 hours,0.0,No,B,1,3,2,3,3
1038,AB,llm,Male,Master's student,Master's student (1st year),22.0,Actively applying for internships,Computer Science / Engineering,Extremely difficult,More than 8 hours,1.0,Yes,A,0,4,3,4,4
1038,AB,llm,Male,Master's student,Master's student (1st year),22.0,Actively applying for internships,Computer Science / Engineering,Extremely difficult,More than 8 hours,1.0,Yes,B,1,4,4,4,4
1039,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,3,3,3,3
1039,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,3,3,3,3
1040,AB,llm,Female,Master's student,Master's student (1st year),24.0,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,A,0,4,3,4,4
1040,AB,llm,Female,Master's student,Master's student (1st year),24.0,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,B,1,4,4,4,4
1041,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,1.0,Yes,A,0,4,3,4,3
1041,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,1.0,Yes,B,1,4,3,4,3
1042,AB,llm,Male,Master's student,Master's student (1st year),23.0,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,A,0,4,3,4,4
1042,AB,llm,Male,Master's student,Master's student (1st year),23.0,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,B,1,4,4,4,4
1043,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,3,3,3,3
1043,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,3,3,3,3
1044,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,4,3,3,4
1044,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,4,3,4,4
1045,AB,llm,Male,Master's student,Master's student (2nd year or above),31.0,Actively applying for full-time jobs,Information Systems / Data Science,Somewhat difficult,More than 8 hours,1.0,Yes,A,0,4,4,4,4
1045,AB,llm,Male,Master's student,Master's student (2nd year or above),31.0,Actively applying for full-time jobs,Information Systems / Data Science,Somewhat difficult,More than 8 hours,1.0,Yes,B,1,4,4,4,4
1046,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Extremely difficult,0-2 hours,1.0,Yes,A,0,3,2,3,3
1046,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Extremely difficult,0-2 hours,1.0,Yes,B,1,3,2,3,3
1047,AB,llm,Female,Master's student,Master's student (1st year),22.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Not sure,A,0,3,3,3,3
1047,AB,llm,Female,Master's student,Master's student (1st year),22.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Not sure,B,1,3,3,3,3
1048,AB,llm,Male,Master's student,Master's student (1st year),24.0,Actively applying for internships,Computer Science / Engineering,Somewhat difficult,6-8 hours,1.0,Yes,A,0,4,3,4,4
1048,AB,llm,Male,Master's student,Master's student (1st year),24.0,Actively applying for internships,Computer Science / Engineering,Somewhat difficult,6-8 hours,1.0,Yes,B,1,4,4,4,4
1049,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,A,0,4,3,4,4
1049,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,B,1,4,3,4,4
1050,AB,llm,Female,Master's student,Master's student (1st year),23.0,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,3,3,3,3
1050,AB,llm,Female,Master's student,Master's student (1st year),23.0,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,4,3,3,3
1051,AB,llm,Male,Master's student,Master's student (1st year),24.0,Actively applying for full-time jobs,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,4,3,4,4
1051,AB,llm,Male,Master's student,Master's student (1st year),24.0,Actively applying for full-time jobs,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,4,4,4,4
1052,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,0.0,No,A,0,2,1,1,2
1052,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,0.0,No,B,1,2,1,2,2
1053,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,A,0,4,3,4,3
1053,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,B,1,4,3,4,4
1054,AB,llm,Male,Master's student,Master's student (2nd year or above),28.0,Not currently looking for jobs,Information Systems / Data Science,Neither easy nor difficult,3-5 hours,1.0,Yes,A,0,4,3,4,4
1054,AB,llm,Male,Master's student,Master's student (2nd year or above),28.0,Not currently looking for jobs,Information Systems / Data Science,Neither easy nor difficult,3-5 hours,1.0,Yes,B,1,3,4,4,4
1055,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,4,3,3,3
1055,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,4,3,3,4
1056,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,A,0,4,3,4,4
1056,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,B,1,4,4,4,4
1057,AB,llm,Male,Master's student,Master's student (1st year),22.0,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,A,0,4,3,4,4
1057,AB,llm,Male,Master's student,Master's student (1st year),22.0,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,B,1,4,3,4,4
1058,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,3,3,3,3
1058,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,3,3,3,3
1059,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,1.0,Yes,A,0,4,3,4,4
1059,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,1.0,Yes,B,1,4,3,4,4
1060,AB,llm,Male,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,4,3,4,4
1060,AB,llm,Male,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,4,4,4,4
1061,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Design,Extremely difficult,0-2 hours,0.0,No,A,0,2,2,1,2
1061,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Design,Extremely difficult,0-2 hours,0.0,No,B,1,2,2,2,2
1062,AB,llm,Female,Master's student,Master's student (1st year),24.0,Not currently looking for jobs,Information Systems / Data Science,Neither easy nor difficult,3-5 hours,1.0,Yes,A,0,4,3,4,4
1062,AB,llm,Female,Master's student,Master's student (1st year),24.0,Not currently looking for jobs,Information Systems / Data Science,Neither easy nor difficult,3-5 hours,1.0,Yes,B,1,4,4,4,4
1063,AB,llm,Male,Master's student,Master's student (2nd year or above),24.0,Actively applying for full-time jobs,Computer Science / Engineering,Somewhat difficult,6-8 hours,1.0,Yes,A,0,4,3,4,4
1063,AB,llm,Male,Master's student,Master's student (2nd year or above),24.0,Actively applying for full-time jobs,Computer Science / Engineering,Somewhat difficult,6-8 hours,1.0,Yes,B,1,4,4,4,4
1064,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,3,3,3,3
1064,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,3,3,3,3
1065,AB,llm,Female,Master's student,Master's student (1st year),22.0,Actively applying for internships,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,A,0,4,3,4,4
1065,AB,llm,Female,Master's student,Master's student (1st year),22.0,Actively applying for internships,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,B,1,4,3,4,4
1066,AB,llm,Male,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,4,3,4,3
1066,AB,llm,Male,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,4,3,4,4
1067,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,1.0,Yes,A,0,3,3,3,3
1067,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,1.0,Yes,B,1,3,3,3,3
1068,AB,llm,Female,Master's student,Master's student (1st year),23.0,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,A,0,4,3,4,4
1068,AB,llm,Female,Master's student,Master's student (1st year),23.0,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,B,1,4,4,4,4
1069,AB,llm,Male,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Extremely difficult,3-5 hours,1.0,Yes,A,0,4,3,4,4
1069,AB,llm,Male,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Extremely difficult,3-5 hours,1.0,Yes,B,1,4,4,4,4
1070,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,4,3,3,3
1070,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,4,3,3,4
1071,AB,llm,Female,Master's student,Master's student (2nd year or above),25.0,Not currently looking for jobs,Information Systems / Data Science,Neither easy nor difficult,0-2 hours,1.0,Yes,A,0,4,3,4,4
1071,AB,llm,Female,Master's student,Master's student (2nd year or above),25.0,Not currently looking for jobs,Information Systems / Data Science,Neither easy nor difficult,0-2 hours,1.0,Yes,B,1,4,4,4,4
1072,AB,llm,Male,Master's student,Master's student (1st year),23.0,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,More than 8 hours,1.0,Yes,A,0,5,5,5,5
1072,AB,llm,Male,Master's student,Master's student (1st year),23.0,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,More than 8 hours,1.0,Yes,B,1,4,4,4,4
1073,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,3,3,3,3
1073,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,3,3,3,3
1074,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,A,0,4,3,4,4
1074,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,B,1,4,4,4,4
1075,AB,llm,Male,Master's student,Master's student (1st year),22.0,Actively applying for internships,Computer Science / Engineering,Somewhat difficult,3-5 hours,1.0,Yes,A,0,4,3,4,4
1075,AB,llm,Male,Master's student,Master's student (1st year),22.0,Actively applying for internships,Computer Science / Engineering,Somewhat difficult,3-5 hours,1.0,Yes,B,1,4,4,4,4
1076,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,0.0,No,A,0,2,1,1,1
1076,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,0.0,No,B,1,2,1,2,2
1077,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Extremely difficult,3-5 hours,1.0,Yes,A,0,4,3,4,3
1077,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Extremely difficult,3-5 hours,1.0,Yes,B,1,4,3,4,3
1078,AB,llm,Male,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,A,0,4,3,3,3
1078,AB,llm,Male,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,B,1,4,3,3,3
1079,AB,llm,Female,Master's student,Master's student (1st year),23.0,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,3,3,3,3
1079,AB,llm,Female,Master's student,Master's student (1st year),23.0,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,3,3,3,3
1080,AB,llm,Female,Master's student,Master's student (2nd year or above),31.0,Actively applying for full-time jobs,Information Systems / Data Science,Somewhat difficult,More than 8 hours,1.0,Yes,A,0,4,3,4,4
