person_id,group,data_source,gender,edu_level,year_in_school,age,job_status,field,difficulty,time_per_week,used_ai,heard_simplify,A_signup,A_useful,A_regular,A_recommend,B_signup,B_useful,B_regular,B_recommend,C_signup,C_useful,C_regular,C_recommend
1022,AB,llm,Female,Master's student,Master's student (1st year),27,Actively applying for internships,Information Systems / Data Science,Extremely difficult,3-5 hours,No,Yes,4,3,3,3,4,3,4,3,,,,
1023,AB,llm,Female,Master's student,Master's student (1st year),31,Not currently looking for jobs,Information Systems / Data Science,Extremely difficult,0-2 hours,Yes,Yes,2,2,1,2,2,1,1,2,,,,
1024,AB,llm,Male,Master's student,Master's student (1st year),29,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,Yes,Yes,2,2,4,3,2,3,3,2,,,,
1025,AB,llm,Female,Master's student,Master's student (1st year),25,Not currently looking for jobs,Information Systems / Data Science,Neither easy nor difficult,3-5 hours,Yes,Not sure,5,4,4,4,3,3,3,2,,,,
1026,AB,llm,Female,Master's student,Master's student (1st year),29,Actively applying for internships,Computer Science / Engineering,Somewhat difficult,3-5 hours,Yes,Yes,3,2,4,3,3,2,4,2,,,,
1027,AB,llm,Female,Master's student,Master's student (1st year),21,Actively applying for internships,Information Systems / Data Science,Neither easy nor difficult,0-2 hours,No,Yes,4,4,3,4,3,4,5,4,,,,
1028,AB,llm,Male,Master's student,Master's student (1st year),23,Actively applying for full-time jobs,Information Systems / Data Science,Neither easy nor difficult,6-8 hours,Yes,Yes,3,2,3,3,2,3,3,2,,,,
1029,AB,llm,Female,Master's student,Master's student (1st year),27,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,More than 8 hours,Yes,Yes,2,1,3,4,3,2,5,4,,,,
1030,AB,llm,Female,Master's student,Master's student (1st year),30,Actively applying for internships,Information Systems / Data Science,Extremely difficult,6-8 hours,No,Yes,3,2,4,2,3,3,4,1,,,,
1031,AB,llm,Female,Master's student,Master's student (1st year),26,Actively applying for internships,Information Systems / Data Science,Extremely difficult,6-8 hours,No,Yes,5,5,3,4,4,4,3,3,,,,
1032,AB,llm,Male,Master's student,Master's student (1st year),21,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,Yes,Yes,1,0,0,1,2,1,0,1,,,,
1033,AB,llm,Female,Master's student,Master's student (1st year),24,Actively applying for internships,Information Systems / Data Science,Neither easy nor difficult,6-8 hours,Yes,Yes,3,3,2,3,3,4,3,2,,,,
1034,AB,llm,Female,Master's student,Master's student (1st year),24,Actively applying for internships,Business,Somewhat difficult,0-2 hours,Yes,Yes,3,2,3,3,2,2,3,2,,,,
1035,AB,llm,Male,Master's student,Master's student (1st year),30,Actively applying for internships,Information Systems / Data Science,Neither easy nor difficult,6-8 hours,No,Yes,3,2,4,4,2,3,4,3,,,,
1036,AB,llm,Female,Master's student,Master's student (1st year),22,Actively applying for internships,Information Systems / Data Science,Neither easy nor difficult,0-2 hours,Yes,Yes,2,2,1,2,4,3,4,4,,,,
1037,AB,llm,Female,Master's student,Master's student (1st year),21,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,More than 8 hours,Yes,Yes,5,3,3,4,3,3,3,3,,,,
1038,AB,llm,Female,Master's student,Master's student (1st year),26,Actively applying for full-time jobs,Information Systems / Data Science,Somewhat difficult,6-8 hours,Yes,No,4,3,2,3,4,3,2,3,,,,
1039,AB,llm,Male,Master's student,Master's student (1st year),29,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,Yes,No,3,3,3,2,4,3,3,4,,,,
1040,AB,llm,Female,Master's student,Master's student (1st year),28,Actively applying for full-time jobs,Computer Science / Engineering,Neither easy nor difficult,More than 8 hours,Yes,Yes,1,1,1,2,2,2,2,1,,,,
1041,AB,llm,Male,Master's student,Master's student (1st year),28,Actively applying for internships,Social Sciences,Neither easy nor difficult,0-2 hours,Yes,Yes,2,2,2,3,2,2,2,4,,,,
1042,AB,llm,Male,Master's student,Master's student (1st year),23,Actively applying for full-time jobs,Information Systems / Data Science,Somewhat difficult,0-2 hours,No,Not sure,4,3,4,5,4,4,5,5,,,,
1043,AB,llm,Female,Master's student,Master's student (1st year),27,Exploring opportunities but not applying yet,Information Systems / Data Science,Somewhat difficult,3-5 hours,Yes,Yes,3,2,4,3,4,4,5,4,,,,
1044,AB,llm,Female,Master's student,Master's student (1st year),29,Actively applying for internships,Business,Somewhat difficult,0-2 hours,Yes,No,1,1,1,0,3,3,2,3,,,,
1045,AB,llm,Male,Master's student,Master's student (1st year),22,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,3-5 hours,Yes,Yes,3,3,4,4,3,3,4,4,,,,
1046,AB,llm,Female,Master's student,Master's student (1st year),24,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,More than 8 hours,Yes,No,2,3,4,4,3,3,4,3,,,,
1047,AB,llm,Female,Master's student,Master's student (1st year),26,Actively applying for full-time jobs,Information Systems / Data Science,Somewhat difficult,0-2 hours,Yes,Yes,3,2,4,3,3,2,3,3,,,,
1048,AB,llm,Male,Master's student,Master's student (1st year),27,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,6-8 hours,No,Not sure,2,3,2,3,4,4,4,5,,,,
1049,AB,llm,Female,Master's student,Master's student (1st year),24,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,Yes,Yes,5,4,4,5,5,4,5,5,,,,
1050,AB,llm,Male,Master's student,Master's student (1st year),24,Actively applying for internships,Computer Science / Engineering,Somewhat difficult,3-5 hours,Yes,Yes,3,3,4,4,3,3,4,4,,,,
1051,AB,llm,Male,Master's student,Master's student (1st year),30,Actively applying for internships,Information Systems / Data Science,Extremely difficult,6-8 hours,No,Yes,3,3,3,4,3,3,4,4,,,,
1052,AB,llm,Male,Master's student,Master's student (1st year),24,Actively applying for internships,Information Systems / Data Science,Extremely difficult,More than 8 hours,Yes,Yes,5,5,4,4,5,5,5,5,,,,
1053,AB,llm,Female,Master's student,Master's student (1st year),26,Actively applying for internships,Business,Somewhat difficult,0-2 hours,Yes,Yes,3,1,3,3,2,1,2,1,,,,
1054,AB,llm,Female,Master's student,Master's student (1st year),22,Actively applying for full-time jobs,Information Systems / Data Science,Somewhat difficult,0-2 hours,Yes,Yes,4,3,4,3,4,3,5,5,,,,
1055,AB,llm,Female,Master's student,Master's student (1st year),29,Actively applying for internships,Information Systems / Data Science,Neither easy nor difficult,6-8 hours,No,Yes,3,3,2,3,4,4,4,4,,,,
1056,AB,llm,Female,Master's student,Master's student (1st year),31,Actively applying for internships,Business,Somewhat difficult,6-8 hours,Yes,Yes,4,2,3,4,3,3,4,3,,,,
1057,AB,llm,Female,Master's student,Master's student (1st year),24,Exploring opportunities but not applying yet,Information Systems / Data Science,Somewhat difficult,6-8 hours,No,Yes,2,2,3,2,2,2,1,3,,,,
1058,AB,llm,Female,Master's student,Master's student (1st year),31,Actively applying for full-time jobs,Information Systems / Data Science,Somewhat difficult,0-2 hours,Yes,Yes,2,2,1,2,3,2,2,2,,,,
1059,AB,llm,Female,Master's student,Master's student (1st year),29,Exploring opportunities but not applying yet,Information Systems / Data Science,Extremely difficult,More than 8 hours,Yes,Yes,5,3,4,4,5,3,4,5,,,,
1060,AB,llm,Male,Master's student,Master's student (1st year),26,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,Yes,Yes,4,3,3,4,3,3,4,4,,,,
1061,AB,llm,Female,Master's student,Master's student (1st year),28,Not currently looking for jobs,Information Systems / Data Science,Neither easy nor difficult,More than 8 hours,Yes,No,3,2,4,3,2,2,3,2,,,,
1062,AB,llm,Female,Master's student,Master's student (1st year),30,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,Yes,Yes,4,3,4,4,3,3,5,4,,,,
1063,AB,llm,Male,Master's student,Master's student (1st year),25,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,No,Yes,5,5,5,4,5,5,4,4,,,,
1064,AB,llm,Male,Master's student,Master's student (1st year),31,Exploring opportunities but not applying yet,Information Systems / Data Science,Neither easy nor difficult,6-8 hours,No,Not sure,5,5,5,5,5,5,5,5,,,,
1065,AB,llm,Female,Master's student,Master's student (1st year),31,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,6-8 hours,Yes,Yes,3,2,3,3,3,3,3,4,,,,
1066,AB,llm,Female,Master's student,Master's student (1st year),28,Not currently looking for jobs,Information Systems / Data Science,Neither easy nor difficult,0-2 hours,No,Yes,4,3,3,5,4,4,4,5,,,,
1067,AB,llm,Male,Master's student,Master's student (1st year),26,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,Yes,No,3,3,4,3,2,3,3,2,,,,
1068,AB,llm,Female,Master's student,Master's student (1st year),24,Actively applying for internships,Information Systems / Data Science,Neither easy nor difficult,0-2 hours,No,Yes,5,3,5,2,4,4,4,2,,,,
1069,AB,llm,Female,Master's student,Master's student (1st year),25,Actively applying for internships,Design,Extremely difficult,6-8 hours,Yes,Yes,3,3,3,3,3,4,3,4,,,,
1070,AB,llm,Female,Master's student,Master's student (1st year),27,Not currently looking for jobs,Computer Science / Engineering,Extremely difficult,6-8 hours,No,Yes,3,2,4,3,2,2,4,1,,,,
1071,AB,llm,Female,Master's student,Master's student (1st year),31,Not currently looking for jobs,Information Systems / Data Science,Extremely difficult,0-2 hours,Yes,No,3,3,3,3,3,3,3,3,,,,
1072,AB,llm,Female,Master's student,Master's student (1st year),24,Not currently looking for jobs,Computer Science / Engineering,Neither easy nor difficult,6-8 hours,Yes,Yes,4,2,3,2,3,3,2,2,,,,
1073,AB,llm,Female,Master's student,Master's student (1st year),23,Actively applying for internships,Information Systems / Data Science,Extremely difficult,0-2 hours,Yes,No,2,1,3,2,2,2,3,1,,,,
1074,AB,llm,Female,Master's student,Master's student (1st year),28,Actively applying for internships,Information Systems / Data Science,Extremely difficult,3-5 hours,Yes,No,3,3,4,2,2,2,2,1,,,,
1075,AB,llm,Female,Master's student,Master's student (1st year),23,Exploring opportunities but not applying yet,Information Systems / Data Science,Somewhat difficult,0-2 hours,No,Yes,1,2,0,0,3,3,1,2,,,,
1076,AB,llm,Female,Master's student,Master's student (1st year),21,Not currently looking for jobs,Computer Science / Engineering,Somewhat difficult,0-2 hours,Yes,Not sure,2,2,2,3,3,3,3,3,,,,
1077,AB,llm,Female,Master's student,Master's student (1st year),22,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,More than 8 hours,Yes,Yes,5,4,5,4,5,4,5,4,,,,
1078,AB,llm,Male,Master's student,Master's student (1st year),23,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,More than 8 hours,Yes,Yes,3,2,3,2,3,2,3,2,,,,
1079,AB,llm,Female,Master's student,Master's student (1st year),28,Actively applying for full-time jobs,Design,Neither easy nor difficult,3-5 hours,Yes,Yes,4,1,2,2,3,3,3,3,,,,
1080,AB,llm,Male,Master's student,Master's student (1st year),23,Actively applying for internships,Design,Somewhat difficult,6-8 hours,Yes,Yes,4,3,2,3,4,4,4,4,,,,
1081,AB,llm,Female,Master's student,Master's student (1st year),23,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,Yes,Yes,4,3,5,5,4,4,5,5,,,,
1082,AB,llm,Female,Master's student,Master's student (1st year),24,Exploring opportunities but not applying yet,Computer Science / Engineering,Somewhat difficult,3-5 hours,Yes,Not sure,3,2,2,4,2,3,3,4,,,,
1083,AB,llm,Male,Master's student,Master's student (1st year),21,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,Yes,Yes,3,3,4,4,4,4,5,4,,,,
1084,AB,llm,Female,Master's student,Master's student (1st year),29,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,Yes,Yes,5,2,2,2,5,4,3,3,,,,
1085,AB,llm,Female,Master's student,Master's student (1st year),23,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,3-5 hours,Yes,No,4,3,3,4,4,4,3,5,,,,
1086,AB,llm,Male,Master's student,Master's student (1st year),25,Actively applying for full-time jobs,Social Sciences,Extremely difficult,6-8 hours,Yes,Not sure,2,2,2,3,2,3,3,2,,,,
1087,AB,llm,Female,Master's student,Master's student (1st year),23,Actively applying for full-time jobs,Social Sciences,Extremely difficult,More than 8 hours,No,No,4,3,2,4,4,3,4,4,,,,
1088,AB,llm,Female,Master's student,Master's student (1st year),25,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,3-5 hours,Yes,No,5,5,5,5,5,5,5,5,,,,
1089,AB,llm,Female,Master's student,Master's student (1st year),29,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,Yes,No,2,2,2,1,3,3,2,3,,,,
1090,AB,llm,Male,Master's student,Master's student (1st year),21,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,Yes,Yes,4,4,4,4,4,5,5,3,,,,
1091,AB,llm,Female,Master's student,Master's student (1st year),22,Actively applying for full-time jobs,Computer Science / Engineering,Somewhat difficult,6-8 hours,No,Yes,4,4,4,2,3,4,3,2,,,,
1092,AB,llm,Female,Master's student,Master's student (1st year),31,Actively applying for internships,Information Systems / Data Science,Neither easy nor difficult,3-5 hours,Yes,Yes,4,4,3,4,4,4,4,5,,,,
1093,AB,llm,Female,Master's student,Master's student (1st year),31,Actively applying for internships,Social Sciences,Somewhat difficult,3-5 hours,No,No,3,4,3,2,2,3,2,1,,,,
1094,AB,llm,Female,Master's student,Master's student (1st year),25,Actively applying for internships,Information Systems / Data Science,Extremely difficult,0-2 hours,Yes,Yes,3,2,3,4,2,2,4,3,,,,
1095,AB,llm,Male,Master's student,Master's student (1st year),31,Actively applying for internships,Computer Science / Engineering,Neither easy nor difficult,6-8 hours,No,Yes,4,2,5,5,3,3,5,4,,,,
1096,AB,llm,Male,Master's student,Master's student (1st year),23,Not currently looking for jobs,Design,Extremely difficult,3-5 hours,Yes,No,2,1,2,3,2,2,3,2,,,,
1097,AB,llm,Female,Master's student,Master's student (1st year),29,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,Yes,Yes,4,3,5,5,3,3,5,5,,,,
1098,AB,llm,Female,Master's student,Master's student (1st year),28,Actively applying for internships,Computer Science / Engineering,Neither easy nor difficult,0-2 hours,No,Yes,4,4,4,4,3,5,4,4,,,,
1099,AB,llm,Male,Master's student,Master's student (1st year),27,Exploring opportunities but not applying yet,Information Systems / Data Science,Somewhat difficult,3-5 hours,Yes,Yes,3,3,3,3,3,3,4,3,,,,
1100,AB,llm,Female,Master's student,Master's student (1st year),22,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,Yes,Yes,4,3,3,2,3,3,2,2,,,,
1101,AC,llm,Female,Master's student,Master's student (1st year),23,Actively applying for full-time jobs,Computer Science / Engineering,Somewhat easy,0-2 hours,Yes,Yes,2,3,2,2,,,,,0,1,1,2
1102,AC,llm,Female,Master's student,Master's student (1st year),23,Actively applying for full-time jobs,Computer Science / Engineering,Extremely difficult,3-5 hours,Yes,Yes,3,2,2,3,,,,,2,3,3,3
1103,AC,llm,Female,Master's student,Master's student (1st year),31,Actively applying for full-time jobs,Business,Extremely difficult,6-8 hours,No,No,3,2,1,2,,,,,3,1,4,3
1104,AC,llm,Female,Master's student,Master's student (1st year),23,Actively applying for internships,Design,Somewhat difficult,3-5 hours,Yes,Yes,5,4,5,4,,,,,4,3,4,3
1105,AC,llm,Female,Master's student,Master's student (1st year),21,Actively applying for full-time jobs,Computer Science / Engineering,Extremely difficult,6-8 hours,No,No,3,2,2,2,,,,,3,2,2,2
1106,AC,llm,Male,Master's student,Master's student (1st year),23,Exploring opportunities but not applying yet,Information Systems / Data Science,Somewhat difficult,3-5 hours,Yes,Yes,2,2,4,2,,,,,3,4,3,3
1107,AC,llm,Male,Master's student,Master's student (1st year),21,Not currently looking for jobs,Design,Neither easy nor difficult,0-2 hours,Yes,Yes,2,2,1,1,,,,,2,2,2,2
1108,AC,llm,Male,Master's student,Master's student (1st year),31,Actively applying for full-time jobs,Computer Science / Engineering,Somewhat difficult,6-8 hours,Yes,Not sure,3,2,3,3,,,,,1,2,2,1
1109,AC,llm,Female,Master's student,Master's student (1st year),22,Actively applying for full-time jobs,Computer Science / Engineering,Somewhat difficult,3-5 hours,Yes,Not sure,1,2,1,1,,,,,2,3,1,2
1110,AC,llm,Male,Master's student,Master's student (1st year),24,Actively applying for full-time jobs,Computer Science / Engineering,Somewhat difficult,6-8 hours,Yes,Yes,4,4,5,4,,,,,4,4,3,3
1111,AC,llm,Female,Master's student,Master's student (1st year),23,Not currently looking for jobs,Natural Sciences,Extremely difficult,6-8 hours,Yes,Yes,5,3,5,3,,,,,3,3,4,3
1112,AC,llm,Female,Master's student,Master's student (1st year),26,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,3-5 hours,Yes,Yes,5,4,5,5,,,,,5,4,5,3
1113,AC,llm,Male,Master's student,Master's student (1st year),25,Actively applying for internships,Information Systems / Data Science,Neither easy nor difficult,6-8 hours,Yes,Yes,3,3,3,3,,,,,2,3,3,4
1114,AC,llm,Female,Master's student,Master's student (1st year),22,Actively applying for internships,Information Systems / Data Science,Extremely difficult,6-8 hours,Yes,Yes,4,4,4,4,,,,,4,4,5,5
1115,AC,llm,Male,Master's student,Master's student (1st year),25,Exploring opportunities but not applying yet,Information Systems / Data Science,Extremely difficult,6-8 hours,No,No,5,3,5,5,,,,,3,2,5,3
1116,AC,llm,Female,Master's student,Master's student (1st year),31,Not currently looking for jobs,Information Systems / Data Science,Extremely difficult,3-5 hours,Yes,Yes,2,4,3,4,,,,,2,2,3,1
1117,AC,llm,Female,Master's student,Master's student (1st year),30,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,Yes,Yes,4,2,3,2,,,,,4,3,3,3
1118,AC,llm,Male,Master's student,Master's student (1st year),28,Actively applying for full-time jobs,Business,Somewhat difficult,3-5 hours,No,Yes,4,4,5,4,,,,,5,5,5,5
1119,AC,llm,Male,Master's student,Master's student (1st year),30,Not currently looking for jobs,Information Systems / Data Science,Extremely difficult,3-5 hours,Yes,Yes,0,1,1,1,,,,,1,1,0,1
1120,AC,llm,Female,Master's student,Master's student (1st year),21,Actively applying for full-time jobs,Computer Science / Engineering,Extremely difficult,0-2 hours,Yes,No,2,3,3,2,,,,,4,3,3,3
1121,AC,llm,Female,Master's student,Master's student (1st year),29,Actively applying for internships,Computer Science / Engineering,Extremely difficult,0-2 hours,Yes,No,1,2,1,2,,,,,1,1,1,2
1122,AC,llm,Female,Master's student,Master's student (1st year),24,Actively applying for full-time jobs,Natural Sciences,Extremely difficult,3-5 hours,Yes,Yes,5,4,5,5,,,,,5,4,5,3
1123,AC,llm,Female,Master's student,Master's student (1st year),24,Actively applying for internships,Information Systems / Data Science,Extremely difficult,0-2 hours,Yes,Yes,5,5,4,5,,,,,4,4,5,4
1124,AC,llm,Female,Master's student,Master's student (1st year),24,Actively applying for full-time jobs,Computer Science / Engineering,Extremely difficult,0-2 hours,Yes,Yes,3,5,2,4,,,,,2,3,3,3
1125,AC,llm,Male,Master's student,Master's student (1st year),29,Exploring opportunities but not applying yet,Information Systems / Data Science,Neither easy nor difficult,0-2 hours,Yes,Yes,1,2,2,2,,,,,2,2,3,3
1126,AC,llm,Female,Master's student,Master's student (1st year),29,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,3-5 hours,No,Yes,5,5,5,5,,,,,4,4,4,3
1127,AC,llm,Female,Master's student,Master's student (1st year),28,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,0-2 hours,Yes,No,3,2,4,3,,,,,3,3,3,3
1128,AC,llm,Male,Master's student,Master's student (1st year),31,Actively applying for internships,Arts,Neither easy nor difficult,0-2 hours,No,Yes,5,3,5,4,,,,,2,3,3,2
1129,AC,llm,Female,Master's student,Master's student (1st year),22,Not currently looking for jobs,Arts,Extremely difficult,6-8 hours,Yes,No,2,2,3,2,,,,,2,3,3,2
1130,AC,llm,Female,Master's student,Master's student (1st year),26,Actively applying for internships,Information Systems / Data Science,Somewhat easy,3-5 hours,Yes,Not sure,3,3,2,2,,,,,2,2,2,1
1131,AC,llm,Male,Master's student,Master's student (1st year),30,Actively applying for internships,Design,Neither easy nor difficult,3-5 hours,Yes,Not sure,2,3,2,4,,,,,2,2,4,4
1132,AC,llm,Female,Master's student,Master's student (1st year),30,Actively applying for internships,Information Systems / Data Science,Extremely difficult,3-5 hours,Yes,Yes,5,5,5,4,,,,,3,4,4,4
1133,AC,llm,Female,Master's student,Master's student (1st year),31,Not currently looking for jobs,Information Systems / Data Science,Extremely difficult,6-8 hours,Yes,Yes,4,3,4,4,,,,,2,4,3,3
1134,AC,llm,Female,Master's student,Master's student (1st year),26,Actively applying for internships,Data Analytic for Science,Somewhat difficult,3-5 hours,Yes,Yes,1,2,1,2,,,,,2,2,2,1
1135,AC,llm,Female,Master's student,Master's student (1st year),27,Not currently looking for jobs,Natural Sciences,Neither easy nor difficult,6-8 hours,Yes,No,4,3,5,4,,,,,3,4,5,5
1136,AC,llm,Male,Master's student,Master's student (1st year),28,Exploring opportunities but not applying yet,Arts,Neither easy nor difficult,0-2 hours,No,Not sure,2,4,3,4,,,,,4,4,4,3
1137,AC,llm,Male,Master's student,Master's student (1st year),22,Exploring opportunities but not applying yet,Data Analytic for Science,Extremely difficult,6-8 hours,Yes,Yes,4,3,3,3,,,,,3,3,2,3
1138,AC,llm,Female,Master's student,Master's student (1st year),24,Actively applying for internships,Computer Science / Engineering,Somewhat difficult,0-2 hours,Yes,No,5,3,3,4,,,,,3,3,4,4
1139,AC,llm,Female,Master's student,Master's student (1st year),24,Not currently looking for jobs,Information Systems / Data Science,Extremely difficult,3-5 hours,Yes,No,2,2,3,2,,,,,2,3,2,4
1140,AC,llm,Female,Master's student,Master's student (1st year),22,Exploring opportunities but not applying yet,Computer Science / Engineering,Somewhat difficult,6-8 hours,Yes,No,5,5,5,4,,,,,5,5,5,4
1141,AC,llm,Female,Master's student,Master's student (1st year),21,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,0-2 hours,No,Yes,5,4,5,4,,,,,5,3,5,4
1142,AC,llm,Female,Master's student,Master's student (1st year),23,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,Yes,Yes,4,3,5,3,,,,,4,3,3,3
1143,AC,llm,Female,Master's student,Master's student (1st year),26,Actively applying for full-time jobs,Business,Extremely difficult,0-2 hours,Yes,No,3,4,2,2,,,,,2,4,2,3
1144,AC,llm,Female,Master's student,Master's student (1st year),29,Actively applying for internships,Computer Science / Engineering,Extremely difficult,6-8 hours,Yes,No,5,4,5,4,,,,,3,4,4,2
1145,AC,llm,Male,Master's student,Master's student (1st year),31,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,0-2 hours,Yes,No,5,4,4,4,,,,,5,4,5,4
1146,AC,llm,Female,Master's student,Master's student (1st year),24,Actively applying for internships,Business,Somewhat difficult,3-5 hours,Yes,Not sure,5,3,5,4,,,,,4,4,4,4
1147,AC,llm,Female,Master's student,Master's student (1st year),24,Not currently looking for jobs,Information Systems / Data Science,Neither easy nor difficult,3-5 hours,Yes,Yes,4,2,4,4,,,,,4,3,5,4
1148,AC,llm,Male,Master's student,Master's student (1st year),27,Actively applying for full-time jobs,Information Systems / Data Science,Somewhat difficult,6-8 hours,No,Yes,4,3,3,3,,,,,4,3,3,3
1149,AC,llm,Female,Master's student,Master's student (1st year),27,Actively applying for internships,Information Systems / Data Science,Extremely difficult,0-2 hours,Yes,Yes,5,5,5,5,,,,,5,5,5,4
